primaryprojecttype,projectstatus,acronym,co2e_mt_calculated,subtype,projectsitename,projectsiteaddress,startdateactual,finishdateactual,postcode,borough,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
Lighting System Upgrade,Completed,DOE,68.8,Retrofit,I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South),90-15 Sutter Ave,23-Apr-08,27-Feb-09,11417.0,QUEENS   ,40.67641,-73.846773,10.0,32.0,54.0,4190727.0,4091550025.0,Ozone Park                                                                 
Comprehensive,Design,DCAS,153.01,Retrofit,Bronx Bergen Building,1932 Arthur Avenue Bronx NY,,,10457.0,BRONX    ,40.845685,-73.893294,6.0,17.0,36901.0,2009911.0,2029470018.0,East Tremont                                                               
Energy Audit,Completed,DOE,114.97,None,M721 - PS 721 Manhattan Occupational Training Center,250 West Houston St,14-Oct-10,27-May-11,10014.0,MANHATTAN,40.728677,-74.005993,2.0,3.0,67.0,1009757.0,1005810054.0,West Village                                                               
Energy Audit,In Progress,DHS,0.0,None,Bellevue Men's Shelter,500 1st Avenue,30-Sep-11,15-Feb-12,10016.0,MANHATTAN,40.740735,-73.975717,6.0,4.0,62.0,1087298.0,1009620097.0,Murray Hill-Kips Bay                                                       
Other,Survey,DOE,,Retro-commissioning,M721- Manhattan Occupational Training Center,250 West Houston Street,,,10014.0,MANHATTAN,40.728677,-74.005993,2.0,3.0,67.0,1009757.0,1005810054.0,West Village                                                               
Lighting System Upgrade,Completed,FDNY,33.08,Retrofit,Engine Company 207,"301 Gold Street, 172 Tillary Street",27-Mar-09,15-Sep-09,11201.0,BROOKLYN ,40.695447,-73.983228,2.0,35.0,15.0,3000252.0,3001340006.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Lighting System Upgrade,Completed,DPR,40.0,Retrofit,Tony Dapolito Recreational Center, 3 Clarkson Street,4-Oct-07,1-Apr-08,10014.0,MANHATTAN,40.729376,-74.005578,2.0,3.0,67.0,,,West Village                                                               
Lighting System Upgrade,Completed,FDNY,11.52,Retrofit,Engine Company 42 & Ladder 56,1781 Monroe Avenue,27-Mar-09,24-Jun-09,10457.0,BRONX    ,40.846283,-73.906532,5.0,15.0,22901.0,2007448.0,2027970035.0,Mount Hope                                                                 
Comprehensive,Design,DOE,361.17,Retrofit,P.S.68X The Bronx School,4011 Monticello Avenue,,,10466.0,BRONX    ,40.891732,-73.838471,12.0,12.0,426.0,2067852.0,2049860081.0,Woodlawn-Wakefield                                                         
Other,Survey,NYPD,,Retro-commissioning,Police Headquarters,1 Police Plaza,,,10038.0,MANHATTAN,40.712356,-74.000891,1.0,1.0,29.0,1079143.0,1001190001.0,Chinatown                                                                  
Energy Audit,Completed,DCAS,1535.73,None,Mario Merola Building,851 Grand Concourse,31-Mar-10,19-Mar-12,10451.0,BRONX    ,40.825999,-73.923131,4.0,8.0,63.0,2002869.0,2024680001.0,West Concourse                                                             
Lighting System Upgrade,Substantially Completed,DOHMH,51.79,Retrofit,East Harlem Health Care Center,158 East 115th Street,26-Mar-12,21-Jun-12,10029.0,MANHATTAN,40.797755,-73.941699,11.0,8.0,182.0,1052229.0,1016400147.0,East Harlem North                                                          
Lighting System Upgrade,Substantially Completed,FDNY,15.94,Retrofit,Engine Company 268,259 Beach 116 Street,1-Jul-11,31-Dec-11,,,,,,,,,,
Energy Audit,Completed,NYPD,42.72,None,81st Precinct,30 Ralph Ave Brooklyn NY,6-Feb-12,15-Jun-12,11221.0,BROOKLYN ,40.689456,-73.924024,3.0,41.0,387.0,3044596.0,3016330039.0,Stuyvesant Heights                                                         
Other,Survey,DOE,,Retro-commissioning,Charles A. Dorsey PS 67,51 Saint Edwards St,,,11205.0,BROOKLYN ,40.695633,-73.978215,2.0,35.0,2901.0,3332507.0,3020390002.0,Fort Greene                                                                
Comprehensive,Design,DOE,501.16,Retrofit,Twin Parks Upper School,2055 Mapes Ave,1-Jul-11,,10460.0,BRONX    ,40.845878,-73.886184,6.0,15.0,371.0,2012957.0,2031090001.0,East Tremont                                                               
Lighting System Upgrade,Completed,NYPD,41.65,Retrofit,61st Precinct,2575 CONEY ISLAND AVENUE,20-May-09,28-Jan-10,11223.0,BROOKLYN ,40.594011,-73.960853,15.0,48.0,584.0,3200556.0,3073710052.0,Homecrest                                                                  
Comprehensive,Cancelled,BPL,117.07,Retrofit,Brooklyn Heights Branch Library,280 Cadman Plaza West,,,11201.0,BROOKLYN ,40.695657,-73.991006,2.0,33.0,502.0,3001939.0,3002390016.0,Brooklyn Heights-Cobble Hill                                               
Energy Audit,Completed,NYPD,66.37,None,73rd Precinct,470 EAST NEW YORK AVENUE,9-Jan-12,3-Apr-12,11225.0,BROOKLYN ,40.661783,-73.947073,9.0,40.0,806.0,3106522.0,3047920008.0,Prospect Lefferts Gardens-Wingate                                          
Lighting System Upgrade,Substantially Completed,QPL,8.27,Retrofit,Woodhaven Branch Library,8541 Forest Pkwy,12-Mar-12,29-Mar-12,11421.0,QUEENS   ,40.694619,-73.861812,9.0,32.0,12.0,4181578.0,4088560085.0,Woodhaven                                                                  
Other,Survey,DOE,,Retro-commissioning,John Bowne,142-30 Barclay Ave,,,11355.0,QUEENS   ,40.758689,-73.824832,7.0,20.0,855.0,4114657.0,4050470001.0,Flushing                                                                   
Lighting System Upgrade,Completed,DOE,235.57,Retrofit,H.S. Of Graphic Communication Arts,439 WEST 49TH ST,27-Jun-08,5-May-09,10019.0,MANHATTAN,40.76337,-73.990593,4.0,3.0,127.0,1026646.0,1010590015.0,Clinton                                                                    
Comprehensive,Design,DCLA,187.8,Retrofit,Staten Island Museum - 75 Stuyvesant Place,75 Stuyvesant Place,,,10301.0,STATEN IS,40.644262,-74.077896,1.0,49.0,7.0,5000088.0,5000090001.0,West New Brighton-New Brighton-St. George                                  
Lighting System Upgrade,Completed,HRA,83.86,Retrofit,Human Resources Administration - 33-28 Northern Blvd,33-28 to 34-08 Northern Blvd,15-Dec-10,6-May-11,,,,,,,,,,
Comprehensive,Design,HHC,6459.37,Retrofit,Elmhurst Hospital Center,"79-01 Broadway  Elmhurst, NY  11373",,,11373.0,QUEENS   ,40.744416,-73.886097,4.0,25.0,267.0,4437132.0,4015000002.0,Elmhurst                                                                   
Energy Audit,Completed,DCAS,314.72,None,Bronx Concourse Plaza,198 East 161st Street,14-Feb-11,28-Jun-11,10451.0,BRONX    ,40.826354,-73.921024,4.0,16.0,61.0,2099027.0,2024430094.0,East Concourse-Concourse Village                                           
Lighting System Upgrade,Completed,NYPD,42.07,Retrofit,44th Precinct,2 EAST 169TH ST,5-Sep-07,13-Sep-08,10452.0,BRONX    ,40.837837,-73.91963,4.0,16.0,22101.0,2003017.0,2024890077.0,West Concourse                                                             
Lighting System Upgrade,Completed,DSNY,234.06,Retrofit,Brooklyn District 17/18 Garage,"105-02 AVENUE   BROOKLYN DIST 17/18 GAR, 105-09 Avenue D",5-Sep-08,2-Jun-09,,,,,,,,,,
Energy Audit,Completed,NYPD,23.76,None,NYPD 72nd Precinct,830 4th Avenue Brooklyn NY 11232,4-Jan-12,14-May-12,11232.0,BROOKLYN ,40.65815,-74.00044,7.0,38.0,101.0,3009843.0,3006680029.0,Sunset Park West                                                           
Lighting System Upgrade,Completed,NYPD,57.6,Retrofit,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,100 MESEROLE AVENUE,30-Jun-10,24-Nov-10,11222.0,BROOKLYN ,40.726993,-73.952982,1.0,33.0,561.0,3065579.0,3026190003.0,Greenpoint                                                                 
Comprehensive,Design,DCAS,,Retrofit,Bronx Housing Court,1118 Grand Concourse,,,10456.0,BRONX    ,40.832232,-73.919655,4.0,16.0,18102.0,2101266.0,2024620039.0,East Concourse-Concourse Village                                           
Energy Audit,Completed,DOE,0.0,None,A. Philip Randolph Campus High School,443 West 135 Street,10-Feb-11,15-May-12,10031.0,MANHATTAN,40.818188,-73.950356,9.0,9.0,21703.0,1059409.0,1019570078.0,Manhattanville                                                             
Comprehensive,Design,DOE,90.78,Retrofit,P.S.81K Thaddeus Stevens School,990 Dekalb Avenue,,,11221.0,BROOKLYN ,40.693161,-73.935765,3.0,36.0,289.0,3043248.0,3016020019.0,Stuyvesant Heights                                                         
Energy Audit,In Progress,DOE,,None,M028- PS 28- Wright Brothers,475 West 155th Street,,,10032.0,MANHATTAN,40.831227,-73.942143,12.0,7.0,239.0,1076739.0,1021070026.0,Washington Heights South                                                   
Lighting System Upgrade,Completed,DOE,128.8,Retrofit,Ko62 - 700 Cortelyou Road,700 Cortelyou Road,11-Mar-11,31-Dec-11,11218.0,BROOKLYN ,40.638686,-73.971651,12.0,40.0,490.0,3126842.0,3053910001.0,Kensington-Ocean Parkway                                                   
Energy Audit,Completed,DOE,79.84,None,PS 81K Thaddeus Stevens School,990 Dekalb Avenue,7-Apr-11,9-Feb-12,11221.0,BROOKLYN ,40.693161,-73.935765,3.0,36.0,289.0,3043248.0,3016020019.0,Stuyvesant Heights                                                         
HVAC System Upgrade,Install,HHC,4022.55,Retrofit,Coney Island Hospital Boilers,2601 Ocean Pkwy Brooklyn NY,,,11235.0,BROOKLYN ,40.586552,-73.966168,13.0,48.0,370.0,3337274.0,3072390001.0,Brighton Beach                                                             
Other,Survey,DOE,,Retro-commissioning,J.H.S.125X Henry Hudson Middle School,1111 Pugsley Avenue,,,10472.0,BRONX    ,40.829232,-73.856734,9.0,18.0,4001.0,2025717.0,2037900040.0,Soundview-Bruckner                                                         
Comprehensive,Install,DCAS,1327.02,Retrofit,100 Gold Street,100 Gold Street,7-Jun-12,,10038.0,MANHATTAN,40.710353,-74.004007,1.0,1.0,1501.0,1001289.0,1000940025.0,Battery Park City-Lower Manhattan                                          
Lighting System Upgrade,Completed,DOE,0.0,Retrofit,I.S. 61R,445 Castleton Ave.,23-Jul-09,23-Dec-09,10301.0,STATEN IS,40.634009,-74.097826,1.0,49.0,67.0,5002227.0,5001000100.0,New Brighton-Silver Lake                                                   
Comprehensive,Design,DOE,154.19,Retrofit, I.S.318K Eugenio Maria De Hostos School,101 Walton Street,,,11206.0,BROOKLYN ,40.7025,-73.948869,1.0,33.0,509.0,3061328.0,3022460001.0,Williamsburg                                                               
Other,Survey,DCAS,,Retro-commissioning,Bronx County Court- Bin # 2002869,851 Grand Concourse,,,10451.0,BRONX    ,40.825999,-73.923131,4.0,8.0,63.0,2002869.0,2024680001.0,West Concourse                                                             
Lighting System Upgrade,Completed,NYPD,25.83,Retrofit,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,653 GRAND AVENUE,30-Jun-10,24-Nov-10,11238.0,BROOKLYN ,40.675658,-73.963123,8.0,35.0,305.0,3028914.0,3011620001.0,Crown Heights North                                                        
Other,Survey,DOE,,Retro-commissioning,M217 - PS 217M Roosevelt School,645 Main Street,,,10044.0,MANHATTAN,40.763894,-73.947916,8.0,5.0,23802.0,1084848.0,1013730001.0,Lenox Hill-Roosevelt Island                                                
Lighting System Upgrade,Install,DSNY,19.3,Retrofit,Bx-11 - 800 Zerega Avenue,800-850 Zerega Avenue,,,10473.0,BRONX    ,40.824196,-73.842913,9.0,18.0,90.0,2094842.0,2037020001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
Lighting System Upgrade,Design,DOE,152.74,Retrofit,J.H.S.43M,509 West 129th Street,,,10027.0,MANHATTAN,40.815256,-73.955325,9.0,7.0,219.0,1059723.0,1019840033.0,Manhattanville                                                             
Other,Proposed,DOHMH,,Retro-commissioning,East Harlem Health Care Center,158 East 115th Street,,,10029.0,MANHATTAN,40.797755,-73.941699,11.0,8.0,182.0,1052229.0,1016400147.0,East Harlem North                                                          
HVAC System Upgrade,Completed,DCAS,583.63,,Manhattan Municipal Building,1 Centre Street,1-Apr-09,1-Jun-09,10007.0,MANHATTAN,40.713001,-74.004181,1.0,1.0,29.0,1001394.0,1001210001.0,Chinatown                                                                  
Lighting System Upgrade,Completed,DOE,43.31,Retrofit,I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South),153-23 83rd Street,23-Apr-08,27-Feb-09,11414.0,QUEENS   ,40.665909,-73.851216,10.0,32.0,6202.0,4247454.0,4114450001.0,Lindenwood-Howard Beach                                                    
Energy Audit,Completed,DOE,112.08,None,P.S 174X,456 White Road,17-Mar-10,1-Oct-10,,,,,,,,,,
HVAC System Upgrade,Substantially Completed,DSNY,714.85,Retrofit,Manhattan Borough Repair Shop,640 West 26th St.,12-Mar-12,30-Jun-12,10001.0,MANHATTAN,40.751183,-74.006594,4.0,3.0,99.0,1012267.0,1006700050.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Lighting System Upgrade,Completed,DOE,68.1,Retrofit,P.S. 246X (Poe Ctr)/P.S. 310X/Ms 118X,"579 E. 179th St., 577 E. 179th Street",6-Jun-08,5-Feb-09,,,,,,,,,,
Other,Survey,DOE,,Retro-commissioning,Q120 - PS 120Q,58-01 136 Street,,,11355.0,QUEENS   ,40.745526,-73.829309,7.0,20.0,80301.0,4139491.0,4063730001.0,Queensboro Hill                                                            
Lighting System Upgrade,Completed,DOE,53.4,Retrofit,H.S. For Environmental Science,"448 WEST 56TH ST, 444 West 56th Street",5-Sep-08,7-May-09,10019.0,MANHATTAN,40.767824,-73.98761,4.0,3.0,139.0,1026841.0,1010650001.0,Clinton                                                                    
Energy Audit,Completed,DOE,31.68,None, P.S.112X The Bronxwood School,1925 Schieffelin Avenue,21-Apr-11,3-May-12,10466.0,BRONX    ,40.885008,-73.843193,12.0,12.0,458.0,2065991.0,2049050500.0,Eastchester-Edenwald-Baychester                                            
Other,Survey,DOE,,Retro-commissioning,K135 - PS 135 Sheldon A. Brookner,686 Linden Blvd,,,11203.0,BROOKLYN ,40.653643,-73.933053,17.0,41.0,870.0,3102005.0,3046730001.0,East Flatbush-Farragut                                                     
HVAC System Upgrade,Design,DOE,223.8,Retrofit,P.S. 138 Brooklyn,760 Prospect Place,,,11216.0,BROOKLYN ,40.67438,-73.951443,8.0,36.0,31701.0,3330794.0,3012330026.0,Crown Heights North                                                        
Energy Audit,Completed,DHS,,None, PATH Office,346 Powers Avenue,,,10454.0,BRONX    ,40.807944,-73.91216,1.0,8.0,33.0,2091301.0,2025720006.0,Mott Haven-Port Morris                                                     
Energy Audit,Completed,DOE,437.31,None,K013 PS 13K Roberto Clemente School,557 Pennsylvania Ave,28-Oct-10,2-Jun-11,11207.0,BROOKLYN ,40.663673,-73.893754,5.0,42.0,1126.0,3085070.0,3038230001.0,East New York (Pennsylvania Ave)                                           
Lighting System Upgrade,Completed,NYPD,22.51,Retrofit,62nd Precinct,1925 BATH AVENUE,20-May-09,28-Jan-10,11214.0,BROOKLYN ,40.602329,-74.00318,11.0,43.0,282.0,3167815.0,3064060045.0,Bath Beach                                                                 
Other,Survey,DOHMH,,Retro-commissioning,Public Health Lab,447 First Avenue,9-Aug-11,,10016.0,MANHATTAN,40.738948,-73.97705,6.0,2.0,66.0,1020610.0,1009320017.0,Murray Hill-Kips Bay                                                       
Lighting System Upgrade,Completed,NYPD,71.69,Retrofit,41st Precinct,1035 LONGWOOD AVENUE,5-Sep-07,12-Sep-08,10459.0,BRONX    ,40.816198,-73.896,2.0,17.0,89.0,2090437.0,2027320001.0,Hunts Point                                                                
HVAC System Upgrade,Install,DCLA,958.74,Retrofit,American Museum Of Natural History,"W 77-81 Streets Columbus Ave, 200 Central Park West",1-Jan-11,,,,,,,,,,,
Other,Survey,NYPD,,Retro-commissioning,122nd Precinct,2320 Hylan Blvd,,,10306.0,STATEN IS,40.5743,-74.105888,2.0,50.0,11202.0,5107580.0,5039060001.0,New Dorp-Midland Beach                                                     
Energy Audit,Completed,DCAS,617.9,None,Manhattan Supreme Court,60 Centre Street New York NY,1-Jun-11,6-Dec-11,10007.0,MANHATTAN,40.714467,-74.002503,1.0,1.0,29.0,1085748.0,1001600021.0,Chinatown                                                                  
Lighting System Upgrade,Completed,NYPD,50.65,Retrofit,49th Precinct,2121 EASTCHESTER ROAD,5-Sep-07,14-Sep-08,10461.0,BRONX    ,40.856047,-73.843944,11.0,13.0,296.0,2097543.0,2042050001.0,Pelham Parkway                                                             
Lighting System Upgrade,Design,DCLA,40.43,Retrofit,Studio Museum of Harlem,"144 West 125th Street  NY, NY  10027",,,10027.0,MANHATTAN,40.808523,-73.947278,10.0,9.0,222.0,1057819.0,1019090009.0,Central Harlem South                                                       
Energy Audit,Completed,DOE,97.5,None,M025 Marta Valle Secondary School,145 Stanton St,19-Apr-11,3-May-12,10002.0,MANHATTAN,40.720581,-73.985645,3.0,1.0,3001.0,1004323.0,1003540080.0,Chinatown                                                                  
Comprehensive,Design,DOE,29.34,Retrofit,P.S.21Q Edward Hart School,147-36 26th Avenue,,,11354.0,QUEENS   ,40.774512,-73.819284,7.0,19.0,1047.0,4108665.0,4048030001.0,Murray Hill                                                                
Other,Survey,TLC,,Retro-commissioning,Woodside Inspection Facility,24-55 Brooklyn-Queens Expwy,9-Aug-11,,11377.0,QUEENS   ,40.764199,-73.902694,1.0,22.0,299.0,4022499.0,4010160045.0,park-cemetery-etc-Queens                                                   
Other,Survey,DOE,,Retro-commissioning,J.H.S. 218 James P. Sinnott,370 Fountain Avenue,,,11208.0,BROOKLYN ,40.670724,-73.874208,5.0,42.0,1118.0,3095977.0,3042780001.0,East New York                                                              
HVAC System Upgrade,Design,CUNY,1632.56,Retrofit,Kingsborough Community College,2001 Oriental Blvd,,,11235.0,BROOKLYN ,40.578497,-73.9349,15.0,48.0,616.0,3326937.0,3087600060.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
Lighting System Upgrade,Design,NYPD,59.4,Retrofit,Old 41st Precinct,1086 Simpson Street,,,10459.0,BRONX    ,40.825555,-73.892928,2.0,17.0,12701.0,2005802.0,2027270017.0,Hunts Point                                                                
Energy Audit,Completed,DOE,44.22,None,PS 057 Crescent,2111 Crotona Avenue,21-Apr-11,14-May-12,10457.0,BRONX    ,40.848472,-73.888561,6.0,15.0,373.0,2012359.0,2030810026.0,East Tremont                                                               
Energy Audit,Completed,DOE,269.1,None,P.S.111X Seton Falls School,3740 Baychester Avenue,3-Mar-11,13-Apr-12,10466.0,BRONX    ,40.884343,-73.840254,12.0,12.0,484.0,2065992.0,2049160001.0,Eastchester-Edenwald-Baychester                                            
Lighting System Upgrade,Completed,NYPD,14.23,Retrofit,70th Precinct,154 LAWRENCE AVENUE,20-May-09,28-Jan-10,11230.0,BROOKLYN ,40.630592,-73.973704,14.0,44.0,480.0,3127902.0,3054230021.0,Flatbush                                                                   
Comprehensive,Design,DOE,2.62,Retrofit,PS 9K Teunis G. Bergen School,80 Underhill Ave,,,11238.0,BROOKLYN ,40.678297,-73.965541,8.0,35.0,205.0,3028204.0,3011450026.0,Prospect Heights                                                           
Lighting System Upgrade,Design,DOE,8.93,Retrofit,The Eileen E. Zaglin,1075 Ocean View Avenue,,,11235.0,BROOKLYN ,40.579737,-73.956329,13.0,48.0,61004.0,3245498.0,3087120056.0,Brighton Beach                                                             
Lighting System Upgrade,Completed,NYPD,40.08,Retrofit,34th Precinct,4295 BROADWAY,12-Dec-08,20-Jul-09,10033.0,MANHATTAN,40.851205,-73.935215,12.0,10.0,271.0,1064415.0,1021800108.0,Washington Heights North                                                   
Energy Audit,Completed,DHS,121.72,None,Atlantic Avenue Men's Shelter (Armory),1322 Bedford Avenue,23-Dec-11,15-Aug-12,11216.0,BROOKLYN ,40.678273,-73.952908,8.0,35.0,221.0,3029748.0,3011990015.0,Crown Heights North                                                        
Energy Audit,Completed,HRA,,None,East Harlem Multi-Service Ctr,413 East 120 Street,10-Nov-10,30-Jun-11,10035.0,MANHATTAN,40.798371,-73.932987,11.0,8.0,192.0,1054888.0,1018080008.0,East Harlem North                                                          
Comprehensive,Design,DOE,144.13,Retrofit,PS 125Q - Thomas J. McCann,"46-02 47 Ave  Woodside, NY",,,11377.0,QUEENS   ,40.741131,-73.918945,2.0,26.0,235.0,4052874.0,4022840006.0,Hunters Point-Sunnyside-West Maspeth                                       
HVAC System Upgrade,Cancelled,DOHMH,28.02,Retrofit,Central Harlem Health Center - 2238 5th Avenue,2238 Fifth Avenue,,,10037.0,MANHATTAN,40.813645,-73.936992,10.0,9.0,212.0,1053900.0,1017340034.0,Central Harlem North-Polo Grounds                                          
Energy Audit,Completed,NYPD,22.92,None,48th Precinct,450 CROSS BRONX EXPWY BRONX NY,6-Feb-12,15-Jun-12,10457.0,BRONX    ,40.844149,-73.900604,6.0,15.0,165.0,2009509.0,2029070010.0,Claremont-Bathgate                                                         
Comprehensive,Design,DCAS,1291.03,Retrofit,Queens Criminal Court,120-55 Queens Blvd. Queens NY 11415,,,11415.0,QUEENS   ,40.713329,-73.828601,9.0,29.0,216.0,4052812.0,4022740002.0,Kew Gardens                                                                
Lighting System Upgrade,Completed,DOE,54.99,Retrofit,P.S. 24Q,141-11 Holly Avenue,29-Dec-09,22-Jun-10,11355.0,QUEENS   ,40.75146,-73.817849,7.0,20.0,1205.0,4117403.0,4052010021.0,East Flushing                                                              
Comprehensive,Install,DOE,1767.43,Retrofit,Murry Bergtraum High School (M520),411 Pearl Street,25-Jan-12,,10038.0,MANHATTAN,40.711442,-74.000851,1.0,1.0,29.0,1001388.0,1001130100.0,Chinatown                                                                  
Lighting System Upgrade,Completed,DOE,50.16,Retrofit,P.S. 226X Annex,"1900 SEDGWICK AVE, 1950 Sedgwick Avenue",13-May-08,25-Mar-09,10453.0,BRONX    ,40.855782,-73.916398,5.0,14.0,249.0,2096465.0,2032220100.0,University Heights-Morris Heights                                          
Energy Audit,Completed,HHC,,None,Metropolitan Hospital,"1901 1st Avenue  New York, NY 10029",,,10029.0,MANHATTAN,40.784557,-73.94378,11.0,8.0,15602.0,1083929.0,1016690001.0,East Harlem South                                                          
Energy Audit,Completed,DOE,65.27,None,PS 78X Anne Hutchinso,1400 Needham Ave,2-Mar-11,28-Feb-12,10469.0,BRONX    ,40.878577,-73.851163,12.0,12.0,386.0,2060191.0,2047190001.0,Eastchester-Edenwald-Baychester                                            
Lighting System Upgrade,Completed,DSNY,151.64,Retrofit,Bronx 12 District Garage,1635 East 233rd St. Bronx NY,24-Jul-09,13-May-10,10466.0,BRONX    ,40.888188,-73.826903,12.0,12.0,456.0,2090261.0,2049740028.0,Eastchester-Edenwald-Baychester                                            
Other,Proposed,DOE,,Retro-commissioning,Q125 - JHS 125Q Thom J. McCann Woodside,46-02 47 Ave,,,11377.0,QUEENS   ,40.741131,-73.918945,2.0,26.0,235.0,4052874.0,4022840006.0,Hunters Point-Sunnyside-West Maspeth                                       
